# wavelength[µm] (rp/rs)^2 error
6.63200480e+00 2.00347709e-02 2.00347709e-07
6.60876682e+00 2.00015550e-02 2.00015550e-07
6.58561026e+00 1.99949283e-02 1.99949283e-07
6.56253484e+00 1.99962617e-02 1.99962617e-07
6.53954028e+00 1.99757361e-02 1.99757361e-07
6.51662629e+00 1.99308518e-02 1.99308518e-07
6.49379258e+00 1.99410755e-02 1.99410755e-07
6.47103889e+00 1.99518238e-02 1.99518238e-07
6.44836492e+00 1.99015440e-02 1.99015440e-07
6.42577039e+00 1.98964483e-02 1.98964483e-07
6.40325504e+00 1.98076222e-02 1.98076222e-07
6.38081858e+00 1.98724334e-02 1.98724334e-07
6.35846074e+00 1.98085834e-02 1.98085834e-07
6.33618123e+00 1.98228123e-02 1.98228123e-07
6.31397979e+00 1.98411499e-02 1.98411499e-07
6.29185614e+00 1.98398979e-02 1.98398979e-07
6.26981002e+00 1.98511902e-02 1.98511902e-07
6.24784113e+00 1.98845468e-02 1.98845468e-07
6.22594923e+00 1.98786163e-02 1.98786163e-07
6.20413404e+00 1.98461932e-02 1.98461932e-07
6.18239528e+00 1.98704662e-02 1.98704662e-07
6.16073269e+00 1.98767532e-02 1.98767532e-07
6.13914601e+00 1.98634515e-02 1.98634515e-07
6.11763496e+00 1.99117531e-02 1.99117531e-07
6.09619929e+00 1.98655081e-02 1.98655081e-07
6.07483873e+00 1.98622772e-02 1.98622772e-07
6.05355301e+00 1.99041834e-02 1.99041834e-07
6.03234188e+00 1.99243274e-02 1.99243274e-07
6.01120506e+00 1.98432203e-02 1.98432203e-07
5.99014231e+00 1.98975899e-02 1.98975899e-07
5.96915336e+00 1.99221079e-02 1.99221079e-07
5.94823796e+00 1.98773608e-02 1.98773608e-07
5.92739584e+00 1.98807587e-02 1.98807587e-07
5.90662675e+00 1.99176453e-02 1.99176453e-07
5.88593043e+00 1.99062658e-02 1.99062658e-07
5.86530663e+00 1.99025258e-02 1.99025258e-07
5.84475510e+00 1.99226087e-02 1.99226087e-07
5.82427557e+00 1.99397138e-02 1.99397138e-07
5.80386781e+00 1.99158803e-02 1.99158803e-07
5.78353155e+00 1.99320528e-02 1.99320528e-07
5.76326654e+00 1.99487822e-02 1.99487822e-07
5.74307255e+00 1.99078962e-02 1.99078962e-07
5.72294931e+00 1.99378290e-02 1.99378290e-07
5.70289658e+00 1.98660575e-02 1.98660575e-07
5.68291412e+00 1.99303019e-02 1.99303019e-07
5.66300167e+00 1.98934367e-02 1.98934367e-07
5.64315900e+00 1.98918251e-02 1.98918251e-07
5.62338585e+00 1.99184824e-02 1.99184824e-07
5.60368198e+00 1.99094184e-02 1.99094184e-07
5.58404716e+00 1.99290779e-02 1.99290779e-07
5.56448113e+00 1.98999584e-02 1.98999584e-07
5.54498366e+00 1.99328412e-02 1.99328412e-07
5.52555451e+00 1.99139953e-02 1.99139953e-07
5.50619344e+00 1.99280117e-02 1.99280117e-07
5.48690021e+00 1.99255238e-02 1.99255238e-07
5.46767458e+00 1.99136388e-02 1.99136388e-07
5.44851631e+00 1.98737813e-02 1.98737813e-07
5.42942517e+00 1.99069327e-02 1.99069327e-07
5.41040093e+00 1.99536381e-02 1.99536381e-07
5.39144335e+00 1.99148910e-02 1.99148910e-07
5.37255219e+00 1.98693213e-02 1.98693213e-07
5.35372722e+00 1.99279169e-02 1.99279169e-07
5.33496822e+00 1.99091996e-02 1.99091996e-07
5.31627494e+00 1.99139163e-02 1.99139163e-07
5.29764717e+00 1.99142385e-02 1.99142385e-07
5.27908466e+00 1.99106275e-02 1.99106275e-07
5.26058720e+00 1.99065539e-02 1.99065539e-07
5.24215455e+00 1.99116834e-02 1.99116834e-07
5.22378649e+00 1.99238887e-02 1.99238887e-07
5.20548278e+00 1.99218840e-02 1.99218840e-07
5.18724321e+00 1.98743133e-02 1.98743133e-07
5.16906756e+00 1.98916920e-02 1.98916920e-07
5.15095558e+00 1.98353164e-02 1.98353164e-07
5.13290707e+00 1.98326996e-02 1.98326996e-07
5.11492180e+00 1.98987936e-02 1.98987936e-07
5.09699955e+00 1.98416444e-02 1.98416444e-07
5.07914010e+00 1.98220567e-02 1.98220567e-07
5.06134323e+00 1.98476992e-02 1.98476992e-07
5.04360871e+00 1.97942972e-02 1.97942972e-07
5.02593633e+00 1.98812434e-02 1.98812434e-07
5.00832588e+00 1.98282408e-02 1.98282408e-07
4.99077713e+00 1.98521279e-02 1.98521279e-07
4.97328988e+00 1.98659956e-02 1.98659956e-07
4.95586389e+00 1.98617196e-02 1.98617196e-07
4.93849897e+00 1.98821675e-02 1.98821675e-07
4.92119489e+00 1.98504307e-02 1.98504307e-07
4.90395144e+00 1.98968499e-02 1.98968499e-07
4.88676841e+00 1.98652508e-02 1.98652508e-07
4.86964559e+00 1.98999434e-02 1.98999434e-07
4.85258277e+00 1.98872693e-02 1.98872693e-07
4.83557973e+00 1.99207605e-02 1.99207605e-07
4.81863627e+00 1.99295277e-02 1.99295277e-07
4.80175218e+00 1.99025420e-02 1.99025420e-07
4.78492725e+00 1.99589029e-02 1.99589029e-07
4.76816127e+00 1.99620705e-02 1.99620705e-07
4.75145404e+00 1.99577045e-02 1.99577045e-07
4.73480535e+00 1.99804626e-02 1.99804626e-07
4.71821499e+00 1.99934790e-02 1.99934790e-07
4.70168277e+00 2.00013905e-02 2.00013905e-07
4.68520847e+00 2.00055834e-02 2.00055834e-07
4.66879190e+00 2.00259864e-02 2.00259864e-07
4.65243285e+00 2.00372979e-02 2.00372979e-07
4.63613112e+00 2.00429883e-02 2.00429883e-07
4.61988651e+00 2.00519283e-02 2.00519283e-07
4.60369882e+00 2.00515902e-02 2.00515902e-07
4.58756786e+00 2.00548035e-02 2.00548035e-07
