# wavelength[µm] (rp/rs)^2 error
6.63200480e+00 3.69008589e-04 3.69008589e-09
6.60876682e+00 3.66028359e-04 3.66028359e-09
6.58561026e+00 3.65060362e-04 3.65060362e-09
6.56253484e+00 3.64928595e-04 3.64928595e-09
6.53954028e+00 3.62248999e-04 3.62248999e-09
6.51662629e+00 3.60626964e-04 3.60626964e-09
6.49379258e+00 3.61207623e-04 3.61207623e-09
6.47103889e+00 3.62586826e-04 3.62586826e-09
6.44836492e+00 3.56483950e-04 3.56483950e-09
6.42577039e+00 3.57596089e-04 3.57596089e-09
6.40325504e+00 3.52966660e-04 3.52966660e-09
6.38081858e+00 3.56875095e-04 3.56875095e-09
6.35846074e+00 3.52641069e-04 3.52641069e-09
6.33618123e+00 3.53611152e-04 3.53611152e-09
6.31397979e+00 3.53661096e-04 3.53661096e-09
6.29185614e+00 3.53214825e-04 3.53214825e-09
6.26981002e+00 3.54612227e-04 3.54612227e-09
6.24784113e+00 3.55062312e-04 3.55062312e-09
6.22594923e+00 3.54280034e-04 3.54280034e-09
6.20413404e+00 3.53182548e-04 3.53182548e-09
6.18239528e+00 3.56486278e-04 3.56486278e-09
6.16073269e+00 3.55973475e-04 3.55973475e-09
6.13914601e+00 3.54807205e-04 3.54807205e-09
6.11763496e+00 3.57587819e-04 3.57587819e-09
6.09619929e+00 3.56928244e-04 3.56928244e-09
6.07483873e+00 3.55972362e-04 3.55972362e-09
6.05355301e+00 3.57302205e-04 3.57302205e-09
6.03234188e+00 3.60242998e-04 3.60242998e-09
6.01120506e+00 3.55402259e-04 3.55402259e-09
5.99014231e+00 3.59730700e-04 3.59730700e-09
5.96915336e+00 3.61273073e-04 3.61273073e-09
5.94823796e+00 3.60164655e-04 3.60164655e-09
5.92739584e+00 3.58353688e-04 3.58353688e-09
5.90662675e+00 3.62493338e-04 3.62493338e-09
5.88593043e+00 3.60454636e-04 3.60454636e-09
5.86530663e+00 3.62193173e-04 3.62193173e-09
5.84475510e+00 3.63086440e-04 3.63086440e-09
5.82427557e+00 3.64561003e-04 3.64561003e-09
5.80386781e+00 3.63204772e-04 3.63204772e-09
5.78353155e+00 3.66503119e-04 3.66503119e-09
5.76326654e+00 3.65073007e-04 3.65073007e-09
5.74307255e+00 3.64109992e-04 3.64109992e-09
5.72294931e+00 3.66208465e-04 3.66208465e-09
5.70289658e+00 3.65214485e-04 3.65214485e-09
5.68291412e+00 3.67420646e-04 3.67420646e-09
5.66300167e+00 3.66900908e-04 3.66900908e-09
5.64315900e+00 3.67488127e-04 3.67488127e-09
5.62338585e+00 3.70131271e-04 3.70131271e-09
5.60368198e+00 3.68117059e-04 3.68117059e-09
5.58404716e+00 3.68043203e-04 3.68043203e-09
5.56448113e+00 3.69440033e-04 3.69440033e-09
5.54498366e+00 3.69620226e-04 3.69620226e-09
5.52555451e+00 3.69760480e-04 3.69760480e-09
5.50619344e+00 3.70562430e-04 3.70562430e-09
5.48690021e+00 3.68870172e-04 3.68870172e-09
5.46767458e+00 3.70154246e-04 3.70154246e-09
5.44851631e+00 3.69708217e-04 3.69708217e-09
5.42942517e+00 3.70540760e-04 3.70540760e-09
5.41040093e+00 3.71103190e-04 3.71103190e-09
5.39144335e+00 3.70116337e-04 3.70116337e-09
5.37255219e+00 3.68737661e-04 3.68737661e-09
5.35372722e+00 3.70554574e-04 3.70554574e-09
5.33496822e+00 3.70099610e-04 3.70099610e-09
5.31627494e+00 3.71952443e-04 3.71952443e-09
5.29764717e+00 3.70379235e-04 3.70379235e-09
5.27908466e+00 3.70993736e-04 3.70993736e-09
5.26058720e+00 3.70481922e-04 3.70481922e-09
5.24215455e+00 3.71924357e-04 3.71924357e-09
5.22378649e+00 3.72179280e-04 3.72179280e-09
5.20548278e+00 3.73385496e-04 3.73385496e-09
5.18724321e+00 3.72281351e-04 3.72281351e-09
5.16906756e+00 3.74132129e-04 3.74132129e-09
5.15095558e+00 3.74622541e-04 3.74622541e-09
5.13290707e+00 3.74914992e-04 3.74914992e-09
5.11492180e+00 3.77426924e-04 3.77426924e-09
5.09699955e+00 3.79012240e-04 3.79012240e-09
5.07914010e+00 3.82610720e-04 3.82610720e-09
5.06134323e+00 3.84763522e-04 3.84763522e-09
5.04360871e+00 3.86307171e-04 3.86307171e-09
5.02593633e+00 3.87801917e-04 3.87801917e-09
5.00832588e+00 3.88680025e-04 3.88680025e-09
4.99077713e+00 3.89324417e-04 3.89324417e-09
4.97328988e+00 3.89808258e-04 3.89808258e-09
4.95586389e+00 3.90272568e-04 3.90272568e-09
4.93849897e+00 3.90444740e-04 3.90444740e-09
4.92119489e+00 3.90659339e-04 3.90659339e-09
4.90395144e+00 3.90781974e-04 3.90781974e-09
4.88676841e+00 3.90840181e-04 3.90840181e-09
4.86964559e+00 3.90884634e-04 3.90884634e-09
4.85258277e+00 3.90899648e-04 3.90899648e-09
4.83557973e+00 3.90905621e-04 3.90905621e-09
4.81863627e+00 3.90908522e-04 3.90908522e-09
4.80175218e+00 3.90909070e-04 3.90909070e-09
4.78492725e+00 3.90909451e-04 3.90909451e-09
4.76816127e+00 3.90909504e-04 3.90909504e-09
