# wavelength[µm] (rp/rs)^2
1.030179522538033332e+01 1.646173600817065971e-02
1.026623996708334552e+01 1.642803502882646607e-02
1.023080742297014112e+01 1.648786300609471692e-02
1.019549716950923290e+01 1.639631882694734741e-02
1.016030878463093501e+01 1.641507835300648477e-02
1.012524184772224167e+01 1.646163704542217068e-02
1.009029593962184634e+01 1.649269732073345776e-02
1.005547064261512524e+01 1.644607446010326254e-02
1.002076554042912804e+01 1.642390527074179263e-02
9.986180218227644900e+00 1.646316397266961093e-02
9.951714262606182970e+00 1.642680163189938827e-02
9.917367261587070715e+00 1.643913409478083010e-02
9.883138804614533868e+00 1.651434950556043141e-02
9.849028482549758934e+00 1.642753714622316452e-02
9.815035887666034853e+00 1.641319565424284588e-02
9.781160613643852031e+00 1.644788792910712241e-02
9.747402255566061768e+00 1.643215919920105322e-02
9.713760409913039240e+00 1.647359088268211466e-02
9.680234674557841146e+00 1.646474841109562062e-02
9.646824648761421983e+00 1.651847962677828810e-02
9.613529933167834329e+00 1.653586940098279723e-02
9.580350129799432679e+00 1.648980170072480642e-02
9.547284842052169651e+00 1.640544040491801608e-02
9.514333674690796272e+00 1.649353389238874396e-02
9.481496233844181276e+00 1.647504000993907369e-02
9.448772127000580667e+00 1.656093366948957826e-02
9.416160963002946360e+00 1.654682347402940470e-02
9.383662352044270349e+00 1.651850835144694912e-02
9.351275905662896903e+00 1.652801086621799934e-02
9.319001236737900484e+00 1.653807680768668020e-02
9.286837959484453009e+00 1.655359652422511152e-02
9.254785689449198216e+00 1.656292379781992494e-02
9.222844043505689982e+00 1.654747133709310106e-02
9.191012639849768462e+00 1.657522293066877178e-02
9.159291097995042819e+00 1.657220931391489849e-02
9.127679038768299336e+00 1.655594614037233722e-02
9.096176084304994802e+00 1.658040534325961810e-02
9.064781858044746343e+00 1.657971498612279687e-02
9.033495984726799932e+00 1.659737490176903599e-02
9.002318090385584171e+00 1.660240120781990292e-02
8.971247802346201894e+00 1.662299340765755612e-02
8.940284749219994609e+00 1.664905192490484173e-02
8.909428560900121141e+00 1.664220811604202530e-02
8.878678868557084769e+00 1.663034949988182951e-02
8.848035304634381149e+00 1.661903438894831581e-02
8.817497502844057422e+00 1.673981336473386733e-02
8.787065098162369026e+00 1.667905430547092852e-02
8.756737726825392087e+00 1.673992059182340814e-02
8.726515026324683788e+00 1.670724271975490560e-02
8.696396635402964037e+00 1.667334031642657075e-02
8.666382194049765175e+00 1.668834265124524013e-02
8.636471343497165165e+00 1.669027805756058067e-02
8.606663726215465715e+00 1.669105803391581280e-02
8.576958985908939681e+00 1.672748833389647513e-02
8.547356767511573139e+00 1.674142287203173388e-02
8.517856717182802129e+00 1.668614083685596508e-02
8.488458482303309793e+00 1.676705529077915716e-02
8.459161711470787992e+00 1.674006912522693624e-02
8.429966054495741545e+00 1.675065517734178680e-02
8.400871162397324454e+00 1.674307262021344084e-02
8.371876687399131711e+00 1.678562911904333751e-02
8.342982282925079929e+00 1.679262115857213522e-02
8.314187603595231124e+00 1.676772103234048378e-02
8.285492305221684006e+00 1.674565531237156776e-02
8.256896044804463486e+00 1.678291390931511626e-02
8.228398480527399528e+00 1.676965597783391243e-02
8.199999271754068175e+00 1.685438440203614746e-02
8.171698079023695271e+00 1.682910797451980800e-02
8.143494564047109918e+00 1.677667939287347601e-02
8.115388389702715699e+00 1.677223756775432506e-02
8.087379220032422822e+00 1.679386919089249919e-02
8.059466720237676185e+00 1.678610386059474491e-02
8.031650556675423047e+00 1.678962257101788286e-02
8.003930396854130436e+00 1.677738845346436747e-02
7.976305909429829200e+00 1.684314540916427225e-02
7.948776764202120759e+00 1.678765852419041374e-02
7.921342632110269122e+00 1.681910168149894358e-02
7.894003185229232500e+00 1.690747538237629202e-02
7.866758096765756214e+00 1.688865624584686559e-02
7.839607041054484249e+00 1.683866640649581484e-02
7.812549693554031727e+00 1.688591900631235959e-02
7.785585730843143537e+00 1.687026671520434201e-02
7.758714830616794345e+00 1.690951003152102103e-02
7.731936671682356099e+00 1.687517085068647796e-02
7.705250933955759329e+00 1.678845517073353222e-02
7.678657298457648217e+00 1.680491712227680581e-02
7.652155447309600511e+00 1.675414809264160962e-02
7.625745063730291484e+00 1.680709239690450843e-02
7.599425832031728056e+00 1.683162874026220349e-02
7.573197437615480254e+00 1.678587052611085068e-02
7.547059566968902011e+00 1.679084716798491875e-02
7.521011907661403484e+00 1.678856672990627907e-02
7.495054148340698497e+00 1.678839927722669198e-02
7.469185978729090181e+00 1.683209550705699886e-02
7.443407089619775263e+00 1.681034844463798889e-02
7.417717172873121712e+00 1.682476762758495711e-02
7.392115921413014767e+00 1.679426675765005247e-02
7.366603029223158572e+00 1.687201447164667772e-02
7.341178191343431081e+00 1.689372403260676683e-02
7.315841103866254969e+00 1.682851258275766537e-02
7.290591463932927674e+00 1.683518755062657704e-02
7.265428969730042930e+00 1.686603342336678163e-02
7.240353320485847455e+00 1.683439678498376002e-02
7.215364216466663372e+00 1.683383652691749707e-02
7.190461358973314177e+00 1.679414774430114041e-02
7.165644450337529392e+00 1.684416927809154543e-02
7.140913193918412283e+00 1.683298115537701020e-02
7.116267294098872931e+00 1.685830987378040755e-02
7.091706456282104831e+00 1.683048646659838707e-02
7.067230386888073035e+00 1.677150962701457956e-02
7.042838793349978310e+00 1.678125475058097130e-02
7.018531384110795024e+00 1.683049796428789241e-02
6.994307868619749513e+00 1.670809998593332513e-02
6.970167957328873065e+00 1.672647639366420594e-02
6.946111361689538910e+00 1.675640456320392699e-02
6.922137794148990331e+00 1.673937514718636457e-02
6.898246968146942493e+00 1.671903157010979149e-02
6.874438598112114107e+00 1.676885689958326417e-02
6.850712399458843471e+00 1.671771993068284570e-02
6.827068088583684080e+00 1.682315728532767299e-02
6.803505382861994022e+00 1.677714602971706534e-02
6.780024000644588433e+00 1.677665537411789434e-02
6.756623661254345770e+00 1.676714100254732276e-02
6.733304084982861148e+00 1.667749671351234989e-02
6.710064993087120122e+00 1.669435239396635864e-02
6.686906107786135145e+00 1.679635494096577350e-02
6.663827152257657538e+00 1.679629788247645125e-02
6.640827850634843266e+00 1.679082256404789211e-02
6.617907928002964013e+00 1.672421921784872367e-02
6.595067110396134247e+00 1.679162006237048047e-02
6.572305124794010744e+00 1.669299699258666725e-02
6.549621699118555185e+00 1.667397827679330605e-02
6.527016562230762986e+00 1.668045530359196782e-02
6.504489443927432113e+00 1.660102878741541790e-02
6.482040074937929219e+00 1.670970549396423241e-02
