# wavelength[µm] (rp/rs)^2 error
6.63200480e+00 3.95914595e-04 3.95914595e-09
6.60876682e+00 3.93745417e-04 3.93745417e-09
6.58561026e+00 3.93392358e-04 3.93392358e-09
6.56253484e+00 3.93526711e-04 3.93526711e-09
6.53954028e+00 3.91836387e-04 3.91836387e-09
6.51662629e+00 3.89777405e-04 3.89777405e-09
6.49379258e+00 3.90267300e-04 3.90267300e-09
6.47103889e+00 3.90957824e-04 3.90957824e-09
6.44836492e+00 3.87315845e-04 3.87315845e-09
6.42577039e+00 3.87453206e-04 3.87453206e-09
6.40325504e+00 3.83019050e-04 3.83019050e-09
6.38081858e+00 3.86298864e-04 3.86298864e-09
6.35846074e+00 3.82508626e-04 3.82508626e-09
6.33618123e+00 3.83305129e-04 3.83305129e-09
6.31397979e+00 3.84132552e-04 3.84132552e-09
6.29185614e+00 3.83940604e-04 3.83940604e-09
6.26981002e+00 3.84780836e-04 3.84780836e-09
6.24784113e+00 3.86158744e-04 3.86158744e-09
6.22594923e+00 3.85823950e-04 3.85823950e-09
6.20413404e+00 3.83950390e-04 3.83950390e-09
6.18239528e+00 3.85753863e-04 3.85753863e-09
6.16073269e+00 3.86089999e-04 3.86089999e-09
6.13914601e+00 3.85097809e-04 3.85097809e-09
6.11763496e+00 3.87830272e-04 3.87830272e-09
6.09619929e+00 3.85745261e-04 3.85745261e-09
6.07483873e+00 3.85184547e-04 3.85184547e-09
6.05355301e+00 3.87249929e-04 3.87249929e-09
6.03234188e+00 3.88844188e-04 3.88844188e-09
6.01120506e+00 3.83991529e-04 3.83991529e-09
5.99014231e+00 3.87366783e-04 3.87366783e-09
5.96915336e+00 3.88699654e-04 3.88699654e-09
5.94823796e+00 3.87059402e-04 3.87059402e-09
5.92739584e+00 3.86194272e-04 3.86194272e-09
5.90662675e+00 3.89219039e-04 3.89219039e-09
5.88593043e+00 3.87509491e-04 3.87509491e-09
5.86530663e+00 3.88271388e-04 3.88271388e-09
5.84475510e+00 3.89170424e-04 3.89170424e-09
5.82427557e+00 3.90440867e-04 3.90440867e-09
5.80386781e+00 3.88699419e-04 3.88699419e-09
5.78353155e+00 3.90714851e-04 3.90714851e-09
5.76326654e+00 3.89993972e-04 3.89993972e-09
5.74307255e+00 3.88023463e-04 3.88023463e-09
5.72294931e+00 3.89861912e-04 3.89861912e-09
5.70289658e+00 3.86505158e-04 3.86505158e-09
5.68291412e+00 3.90213365e-04 3.90213365e-09
5.66300167e+00 3.87604629e-04 3.87604629e-09
5.64315900e+00 3.87932890e-04 3.87932890e-09
5.62338585e+00 3.89778207e-04 3.89778207e-09
5.60368198e+00 3.89397823e-04 3.89397823e-09
5.58404716e+00 3.89601775e-04 3.89601775e-09
5.56448113e+00 3.89622300e-04 3.89622300e-09
5.54498366e+00 3.89935240e-04 3.89935240e-09
5.52555451e+00 3.89361925e-04 3.89361925e-09
